Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,District,Price
720,47,2,1,0,1,0,0,0,Carrao,320000
100,56,2,2,1,1,0,0,0,Guaianazes,144900
900,105,2,2,1,1,0,0,1,Casa Verde,542000
400,52,2,2,1,1,1,0,0,Parque do Carmo,224900
272,36,1,1,0,1,0,0,1,Republica,336000
120,52,2,1,0,1,0,0,0,Cidade Tiradentes,128000
430,64,3,2,1,1,1,0,1,Jardim Angela,280000
450,34,1,2,1,1,1,1,1,Brooklin,440000
505,52,2,1,0,1,0,0,1,Jabaquara,280000
400,50,2,2,1,1,1,0,1,Parque do Carmo,200000
0,37,1,1,0,1,0,0,1,Sao Mateus,179000
0,55,2,1,0,1,0,0,1,Vila Formosa,325000
450,52,2,2,1,1,1,0,1,Campo Grande,290000
490,51,2,2,1,1,1,0,0,Tremembe,280000
260,43,2,2,1,1,1,0,0,Jardim Angela,205000
560,86,3,2,1,2,1,0,1,Aricanduva,650000
620,55,2,1,0,1,1,0,1,Jabaquara,370000
500,77,2,1,0,1,0,0,0,Santa Cecilia,469900
0,60,2,2,1,1,0,0,0,Carrao,385000
365,65,2,2,1,1,0,0,0,Grajau,310000
370,51,1,2,1,1,1,0,1,Cambuci,366700
110,56,2,2,1,1,0,0,0,Jose Bonifacio,165000
340,70,3,1,0,1,0,0,0,Campo Limpo,240000
0,41,2,1,0,1,1,0,0,Sao Mateus,147900
570,58,2,2,1,1,1,1,1,Jaragua,510000
1,65,2,2,1,2,0,0,1,Pari,530000
0,69,2,2,1,1,1,0,0,Cursino,500000
347,52,2,1,0,1,0,0,1,Vila Prudente,350000
1000,74,3,2,1,2,0,0,1,Anhanguera,445000
268,43,2,2,1,1,0,0,0,Lajeado,200000
400,50,1,2,1,1,1,1,1,Vila Mariana,577000
100,56,3,2,1,1,0,0,0,Grajau,170000
400,50,2,2,1,1,0,0,1,Jaguare,320000
0,43,2,1,0,1,1,0,0,Capao Redondo,217000
0,60,3,2,1,1,1,0,1,Limao,410000
550,55,1,1,0,1,0,0,0,Moema,500000
740,67,2,1,0,1,0,0,0,Jabaquara,350000
0,89,3,2,1,2,1,0,1,Tatuape,654000
1000,85,3,2,1,1,0,1,0,Pirituba,675000
0,44,2,1,0,1,1,1,1,Campo Limpo,245000
0,45,2,2,1,1,0,0,0,Cidade Tiradentes,120000
